"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
Throgs Neck,"Information, Finance, Real Estate",2015,Number,6210,210
Pelham Parkway,"Information, Finance, Real Estate",2015,Number,5187,211
Williamsbridge,"Information, Finance, Real Estate",2015,Number,5158,212
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2015,Number,13543,301
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2015,Number,13980,302
Bedford Stuyvesant,"Information, Finance, Real Estate",2015,Number,6124,303
Bushwick,"Information, Finance, Real Estate",2015,Number,5694,304
East New York,"Information, Finance, Real Estate",2015,Number,4223,305
Park Slope,"Information, Finance, Real Estate",2015,Number,14670,306
Sunset Park,"Information, Finance, Real Estate",2015,Number,5970,307
Crown Heights North,"Information, Finance, Real Estate",2015,Number,8006,308
Crown Heights South,"Information, Finance, Real Estate",2015,Number,5132,309
Bay Ridge,"Information, Finance, Real Estate",2015,Number,8254,310
Bensonhurst,"Information, Finance, Real Estate",2015,Number,8800,311
Borough Park,"Information, Finance, Real Estate",2015,Number,5493,312
Coney Island,"Information, Finance, Real Estate",2015,Number,3883,313
Flatbush/Midwood,"Information, Finance, Real Estate",2015,Number,7637,314
Sheepshead Bay,"Information, Finance, Real Estate",2015,Number,7784,315
Brownsville,"Information, Finance, Real Estate",2015,Number,2783,316
East Flatbush,"Information, Finance, Real Estate",2015,Number,4326,317
Canarsie,"Information, Finance, Real Estate",2015,Number,9048,318
Astoria,"Information, Finance, Real Estate",2015,Number,12876,401
Sunnyside/Woodside,"Information, Finance, Real Estate",2015,Number,9273,402
Jackson Heights,"Information, Finance, Real Estate",2015,Number,6434,403
Elmhurst/Corona,"Information, Finance, Real Estate",2015,Number,4545,404
Ridgewood/Glendale,"Information, Finance, Real Estate",2015,Number,9255,405
Rego Park/Forest Hills,"Information, Finance, Real Estate",2015,Number,9659,406
Flushing,"Information, Finance, Real Estate",2015,Number,12160,407
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2015,Number,9328,408
Woodhaven,"Information, Finance, Real Estate",2015,Number,6719,409
Howard Beach,"Information, Finance, Real Estate",2015,Number,6778,410
Bayside,"Information, Finance, Real Estate",2015,Number,8220,411
Jamaica/St. Albans,"Information, Finance, Real Estate",2015,Number,8563,412
Queens Village,"Information, Finance, Real Estate",2015,Number,9548,413
The Rockaways,"Information, Finance, Real Estate",2015,Number,4429,414
St. George,"Information, Finance, Real Estate",2015,Number,7464,501
South Beach,"Information, Finance, Real Estate",2015,Number,8167,502
Tottenville,"Information, Finance, Real Estate",2015,Number,10348,503
Bronx,"Information, Finance, Real Estate",2015,Number,48969,36005
Brooklyn,"Information, Finance, Real Estate",2015,Number,135350,36047
Manhattan,"Information, Finance, Real Estate",2015,Number,203789,36061
Queens,"Information, Finance, Real Estate",2015,Number,117787,36081
Staten Island,"Information, Finance, Real Estate",2015,Number,25979,36085
New York City,"Information, Finance, Real Estate",2015,Number,531874,3651000
Battery Park/Tribeca,"Information, Finance, Real Estate",2015,Percent,0.32175,101
Greenwich Village,"Information, Finance, Real Estate",2015,Percent,0.32175,102
Lower East Side,"Information, Finance, Real Estate",2015,Percent,0.19362,103
Chelsea/Clinton,"Information, Finance, Real Estate",2015,Percent,0.29077,104
Midtown Business District,"Information, Finance, Real Estate",2015,Percent,0.29077,105
Murray Hill/Stuyvesant,"Information, Finance, Real Estate",2015,Percent,0.29559,106
Upper West Side,"Information, Finance, Real Estate",2015,Percent,0.27033,107
Upper East Side,"Information, Finance, Real Estate",2015,Percent,0.29438,108
Manhattanville,"Information, Finance, Real Estate",2015,Percent,0.12462,109
Central Harlem,"Information, Finance, Real Estate",2015,Percent,0.1246,110
East Harlem,"Information, Finance, Real Estate",2015,Percent,0.12155,111
Washington Heights,"Information, Finance, Real Estate",2015,Percent,0.10703,112
Mott Haven,"Information, Finance, Real Estate",2015,Percent,0.07236,201
Hunts Point,"Information, Finance, Real Estate",2015,Percent,0.07236,202
Morrisania,"Information, Finance, Real Estate",2015,Percent,0.07059,203
Concourse/Highbridge,"Information, Finance, Real Estate",2015,Percent,0.07229,204
University Heights,"Information, Finance, Real Estate",2015,Percent,0.07471,205
East Tremont,"Information, Finance, Real Estate",2015,Percent,0.07059,206
Bedford Park,"Information, Finance, Real Estate",2015,Percent,0.07989,207
Riverdale,"Information, Finance, Real Estate",2015,Percent,0.12008,208
Unionport/Soundview,"Information, Finance, Real Estate",2015,Percent,0.09166,209
Throgs Neck,"Information, Finance, Real Estate",2015,Percent,0.11155,210
Pelham Parkway,"Information, Finance, Real Estate",2015,Percent,0.09147,211
Williamsbridge,"Information, Finance, Real Estate",2015,Percent,0.0829,212
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2015,Percent,0.16818,301
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2015,Percent,0.19953,302
Bedford Stuyvesant,"Information, Finance, Real Estate",2015,Percent,0.10648,303
Bushwick,"Information, Finance, Real Estate",2015,Percent,0.08878,304
East New York,"Information, Finance, Real Estate",2015,Percent,0.07179,305
Park Slope,"Information, Finance, Real Estate",2015,Percent,0.21304,306
Sunset Park,"Information, Finance, Real Estate",2015,Percent,0.08313,307
Crown Heights North,"Information, Finance, Real Estate",2015,Percent,0.13199,308
Crown Heights South,"Information, Finance, Real Estate",2015,Percent,0.10436,309
Bay Ridge,"Information, Finance, Real Estate",2015,Percent,0.13713,310
Bensonhurst,"Information, Finance, Real Estate",2015,Percent,0.10386,311
Borough Park,"Information, Finance, Real Estate",2015,Percent,0.09071,312
Coney Island,"Information, Finance, Real Estate",2015,Percent,0.09198,313
Flatbush/Midwood,"Information, Finance, Real Estate",2015,Percent,0.10739,314
Sheepshead Bay,"Information, Finance, Real Estate",2015,Percent,0.12071,315
Brownsville,"Information, Finance, Real Estate",2015,Percent,0.06356,316
East Flatbush,"Information, Finance, Real Estate",2015,Percent,0.07041,317
Canarsie,"Information, Finance, Real Estate",2015,Percent,0.09294,318
Astoria,"Information, Finance, Real Estate",2015,Percent,0.13279,401
Sunnyside/Woodside,"Information, Finance, Real Estate",2015,Percent,0.12486,402
Jackson Heights,"Information, Finance, Real Estate",2015,Percent,0.07106,403
Elmhurst/Corona,"Information, Finance, Real Estate",2015,Percent,0.06553,404
Ridgewood/Glendale,"Information, Finance, Real Estate",2015,Percent,0.11319,405
Rego Park/Forest Hills,"Information, Finance, Real Estate",2015,Percent,0.16741,406
Flushing,"Information, Finance, Real Estate",2015,Percent,0.10659,407
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2015,Percent,0.12907,408
Woodhaven,"Information, Finance, Real Estate",2015,Percent,0.09265,409
Howard Beach,"Information, Finance, Real Estate",2015,Percent,0.10531,410
Bayside,"Information, Finance, Real Estate",2015,Percent,0.13881,411
Jamaica/St. Albans,"Information, Finance, Real Estate",2015,Percent,0.07892,412
Queens Village,"Information, Finance, Real Estate",2015,Percent,0.09918,413
The Rockaways,"Information, Finance, Real Estate",2015,Percent,0.09399,414
St. George,"Information, Finance, Real Estate",2015,Percent,0.10326,501
South Beach,"Information, Finance, Real Estate",2015,Percent,0.13487,502
Tottenville,"Information, Finance, Real Estate",2015,Percent,0.13567,503
Bronx,"Information, Finance, Real Estate",2015,Percent,0.08684,36005
Brooklyn,"Information, Finance, Real Estate",2015,Percent,0.11594,36047
Manhattan,"Information, Finance, Real Estate",2015,Percent,0.23041,36061
Queens,"Information, Finance, Real Estate",2015,Percent,0.1066,36081
Staten Island,"Information, Finance, Real Estate",2015,Percent,0.12423,36085
New York City,"Information, Finance, Real Estate",2015,Percent,0.13534,3651000
Battery Park/Tribeca,Management and Professional Services,2015,Number,10334.36441,101
Greenwich Village,Management and Professional Services,2015,Number,15255.63559,102
Lower East Side,Management and Professional Services,2015,Number,15842,103
Chelsea/Clinton,Management and Professional Services,2015,Number,15927.47295,104
Midtown Business District,Management and Professional Services,2015,Number,7971.52705,105
Murray Hill/Stuyvesant,Management and Professional Services,2015,Number,23582,106
Upper West Side,Management and Professional Services,2015,Number,24866,107
Upper East Side,Management and Professional Services,2015,Number,28138,108
Manhattanville,Management and Professional Services,2015,Number,7090,109
Central Harlem,Management and Professional Services,2015,Number,7789,110
East Harlem,Management and Professional Services,2015,Number,6171,111
Washington Heights,Management and Professional Services,2015,Number,11035,112
Mott Haven,Management and Professional Services,2015,Number,2580.50018,201
Hunts Point,Management and Professional Services,2015,Number,1473.49982,202
Morrisania,Management and Professional Services,2015,Number,2300.93042,203
Concourse/Highbridge,Management and Professional Services,2015,Number,3745,204
University Heights,Management and Professional Services,2015,Number,3972,205
East Tremont,Management and Professional Services,2015,Number,2402.06958,206
Bedford Park,Management and Professional Services,2015,Number,4275,207
Riverdale,Management and Professional Services,2015,Number,4912,208
Unionport/Soundview,Management and Professional Services,2015,Number,6700,209
Throgs Neck,Management and Professional Services,2015,Number,5422,210
Pelham Parkway,Management and Professional Services,2015,Number,4331,211
Williamsbridge,Management and Professional Services,2015,Number,5103,212
Williamsburg/Greenpoint,Management and Professional Services,2015,Number,16583,301
Fort Greene/Brooklyn Hts,Management and Professional Services,2015,Number,15462,302
Bedford Stuyvesant,Management and Professional Services,2015,Number,7156,303
Bushwick,Management and Professional Services,2015,Number,7516,304
East New York,Management and Professional Services,2015,Number,5623,305
Park Slope,Management and Professional Services,2015,Number,15373,306
Sunset Park,Management and Professional Services,2015,Number,7461,307
Crown Heights North,Management and Professional Services,2015,Number,8511,308
Crown Heights South,Management and Professional Services,2015,Number,4932,309
Bay Ridge,Management and Professional Services,2015,Number,6924,310
Bensonhurst,Management and Professional Services,2015,Number,8555,311
Borough Park,Management and Professional Services,2015,Number,5536,312
Coney Island,Management and Professional Services,2015,Number,3973,313
Flatbush/Midwood,Management and Professional Services,2015,Number,8012,314
Sheepshead Bay,Management and Professional Services,2015,Number,7254,315
Brownsville,Management and Professional Services,2015,Number,4335,316
East Flatbush,Management and Professional Services,2015,Number,5087,317
Canarsie,Management and Professional Services,2015,Number,8209,318
Astoria,Management and Professional Services,2015,Number,13999,401
Sunnyside/Woodside,Management and Professional Services,2015,Number,10794,402
Jackson Heights,Management and Professional Services,2015,Number,8376,403
Elmhurst/Corona,Management and Professional Services,2015,Number,7208,404
Ridgewood/Glendale,Management and Professional Services,2015,Number,9386,405
Rego Park/Forest Hills,Management and Professional Services,2015,Number,8815,406
Flushing,Management and Professional Services,2015,Number,10999,407
Fresh Meadows/Briarwood,Management and Professional Services,2015,Number,8069,408
Woodhaven,Management and Professional Services,2015,Number,7821,409
Howard Beach,Management and Professional Services,2015,Number,5993,410
Bayside,Management and Professional Services,2015,Number,6627,411
Jamaica/St. Albans,Management and Professional Services,2015,Number,9209,412
Queens Village,Management and Professional Services,2015,Number,9086,413
The Rockaways,Management and Professional Services,2015,Number,4916,414
St. George,Management and Professional Services,2015,Number,8042,501
South Beach,Management and Professional Services,2015,Number,6655,502
Tottenville,Management and Professional Services,2015,Number,8853,503
Bronx,Management and Professional Services,2015,Number,47217,36005
Brooklyn,Management and Professional Services,2015,Number,146502,36047
Manhattan,Management and Professional Services,2015,Number,174002,36061
Queens,Management and Professional Services,2015,Number,121294,36081
Staten Island,Management and Professional Services,2015,Number,23550,36085
New York City,Management and Professional Services,2015,Number,512565,3651000
Battery Park/Tribeca,Management and Professional Services,2015,Percent,0.26259,101
Greenwich Village,Management and Professional Services,2015,Percent,0.26259,102
Lower East Side,Management and Professional Services,2015,Percent,0.19797,103
Chelsea/Clinton,Management and Professional Services,2015,Percent,0.2445,104
Midtown Business District,Management and Professional Services,2015,Percent,0.2445,105
Murray Hill/Stuyvesant,Management and Professional Services,2015,Percent,0.24957,106
Upper West Side,Management and Professional Services,2015,Percent,0.22348,107
Upper East Side,Management and Professional Services,2015,Percent,0.21505,108
Manhattanville,Management and Professional Services,2015,Percent,0.11717,109
Central Harlem,Management and Professional Services,2015,Percent,0.13313,110
East Harlem,Management and Professional Services,2015,Percent,0.12485,111
Washington Heights,Management and Professional Services,2015,Percent,0.10592,112
Mott Haven,Management and Professional Services,2015,Percent,0.08057,201
Hunts Point,Management and Professional Services,2015,Percent,0.08057,202
Morrisania,Management and Professional Services,2015,Percent,0.08271,203
Concourse/Highbridge,Management and Professional Services,2015,Percent,0.07172,204
University Heights,Management and Professional Services,2015,Percent,0.07646,205
East Tremont,Management and Professional Services,2015,Percent,0.08271,206
Bedford Park,Management and Professional Services,2015,Percent,0.08122,207
Riverdale,Management and Professional Services,2015,Percent,0.09898,208
Unionport/Soundview,Management and Professional Services,2015,Percent,0.0885,209
Throgs Neck,Management and Professional Services,2015,Percent,0.0974,210
Pelham Parkway,Management and Professional Services,2015,Percent,0.07638,211
Williamsbridge,Management and Professional Services,2015,Percent,0.08202,212
Williamsburg/Greenpoint,Management and Professional Services,2015,Percent,0.20593,301
Fort Greene/Brooklyn Hts,Management and Professional Services,2015,Percent,0.22068,302
Bedford Stuyvesant,Management and Professional Services,2015,Percent,0.12443,303
Bushwick,Management and Professional Services,2015,Percent,0.11719,304
East New York,Management and Professional Services,2015,Percent,0.09559,305
Park Slope,Management and Professional Services,2015,Percent,0.22325,306
Sunset Park,Management and Professional Services,2015,Percent,0.10389,307
Crown Heights North,Management and Professional Services,2015,Percent,0.14031,308
Crown Heights South,Management and Professional Services,2015,Percent,0.10029,309
Bay Ridge,Management and Professional Services,2015,Percent,0.11503,310
Bensonhurst,Management and Professional Services,2015,Percent,0.10097,311
Borough Park,Management and Professional Services,2015,Percent,0.09142,312
Coney Island,Management and Professional Services,2015,Percent,0.09411,313
Flatbush/Midwood,Management and Professional Services,2015,Percent,0.11267,314
Sheepshead Bay,Management and Professional Services,2015,Percent,0.11249,315
Brownsville,Management and Professional Services,2015,Percent,0.099,316
East Flatbush,Management and Professional Services,2015,Percent,0.08279,317
Canarsie,Management and Professional Services,2015,Percent,0.08432,318
Astoria,Management and Professional Services,2015,Percent,0.14437,401
Sunnyside/Woodside,Management and Professional Services,2015,Percent,0.14534,402
Jackson Heights,Management and Professional Services,2015,Percent,0.09251,403
Elmhurst/Corona,Management and Professional Services,2015,Percent,0.10392,404
Ridgewood/Glendale,Management and Professional Services,2015,Percent,0.11479,405
Rego Park/Forest Hills,Management and Professional Services,2015,Percent,0.15278,406
Flushing,Management and Professional Services,2015,Percent,0.09641,407
Fresh Meadows/Briarwood,Management and Professional Services,2015,Percent,0.11165,408
Woodhaven,Management and Professional Services,2015,Percent,0.10784,409
Howard Beach,Management and Professional Services,2015,Percent,0.09311,410
Bayside,Management and Professional Services,2015,Percent,0.11191,411
Jamaica/St. Albans,Management and Professional Services,2015,Percent,0.08487,412
Queens Village,Management and Professional Services,2015,Percent,0.09438,413
The Rockaways,Management and Professional Services,2015,Percent,0.10433,414
St. George,Management and Professional Services,2015,Percent,0.11126,501
South Beach,Management and Professional Services,2015,Percent,0.1099,502
Tottenville,Management and Professional Services,2015,Percent,0.11607,503
Bronx,Management and Professional Services,2015,Percent,0.08373,36005
Brooklyn,Management and Professional Services,2015,Percent,0.12549,36047
Manhattan,Management and Professional Services,2015,Percent,0.19673,36061
Queens,Management and Professional Services,2015,Percent,0.10978,36081
Staten Island,Management and Professional Services,2015,Percent,0.11262,36085
New York City,Management and Professional Services,2015,Percent,0.13043,3651000
Battery Park/Tribeca,Other Services,2015,Number,1051.20557,101
Greenwich Village,Other Services,2015,Number,1551.79443,102
Lower East Side,Other Services,2015,Number,3587,103
Chelsea/Clinton,Other Services,2015,Number,2010.67768,104
Midtown Business District,Other Services,2015,Number,1006.32232,105
Murray Hill/Stuyvesant,Other Services,2015,Number,3695,106
Upper West Side,Other Services,2015,Number,3926,107
Upper East Side,Other Services,2015,Number,3735,108
Manhattanville,Other Services,2015,Number,3342,109
Central Harlem,Other Services,2015,Number,3217,110
East Harlem,Other Services,2015,Number,2614,111
Washington Heights,Other Services,2015,Number,6927,112
Mott Haven,Other Services,2015,Number,2080.18614,201
Hunts Point,Other Services,2015,Number,1187.81386,202
Morrisania,Other Services,2015,Number,1832.23143,203
Concourse/Highbridge,Other Services,2015,Number,3353,204
University Heights,Other Services,2015,Number,4099,205
East Tremont,Other Services,2015,Number,1912.76857,206
Bedford Park,Other Services,2015,Number,3434,207
Riverdale,Other Services,2015,Number,2999,208
Unionport/Soundview,Other Services,2015,Number,4262,209
Throgs Neck,Other Services,2015,Number,2461,210
Pelham Parkway,Other Services,2015,Number,2725,211
Williamsbridge,Other Services,2015,Number,3959,212
Williamsburg/Greenpoint,Other Services,2015,Number,3813,301
Fort Greene/Brooklyn Hts,Other Services,2015,Number,3027,302
Bedford Stuyvesant,Other Services,2015,Number,2919,303
Bushwick,Other Services,2015,Number,4162,304
East New York,Other Services,2015,Number,3026,305
Park Slope,Other Services,2015,Number,3018,306
Sunset Park,Other Services,2015,Number,5041,307
Crown Heights North,Other Services,2015,Number,4041,308
Crown Heights South,Other Services,2015,Number,3139,309
Bay Ridge,Other Services,2015,Number,3446,310
Bensonhurst,Other Services,2015,Number,4658,311
Borough Park,Other Services,2015,Number,3596,312
Coney Island,Other Services,2015,Number,2587,313
Flatbush/Midwood,Other Services,2015,Number,3526,314
Sheepshead Bay,Other Services,2015,Number,2970,315
Brownsville,Other Services,2015,Number,2300,316
East Flatbush,Other Services,2015,Number,3950,317
Canarsie,Other Services,2015,Number,4308,318
Astoria,Other Services,2015,Number,6148,401
Sunnyside/Woodside,Other Services,2015,Number,4813,402
Jackson Heights,Other Services,2015,Number,7282,403
Elmhurst/Corona,Other Services,2015,Number,6441,404
Ridgewood/Glendale,Other Services,2015,Number,4966,405
Rego Park/Forest Hills,Other Services,2015,Number,3695,406
Flushing,Other Services,2015,Number,11418,407
Fresh Meadows/Briarwood,Other Services,2015,Number,4187,408
Woodhaven,Other Services,2015,Number,4665,409
Howard Beach,Other Services,2015,Number,3869,410
Bayside,Other Services,2015,Number,4304,411
Jamaica/St. Albans,Other Services,2015,Number,5259,412
Queens Village,Other Services,2015,Number,4302,413
The Rockaways,Other Services,2015,Number,2595,414
St. George,Other Services,2015,Number,3300,501
South Beach,Other Services,2015,Number,2929,502
Tottenville,Other Services,2015,Number,3152,503
Bronx,Other Services,2015,Number,34305,36005
Brooklyn,Other Services,2015,Number,63527,36047
Manhattan,Other Services,2015,Number,36663,36061
Queens,Other Services,2015,Number,73944,36081
Staten Island,Other Services,2015,Number,9381,36085
New York City,Other Services,2015,Number,217820,3651000
Battery Park/Tribeca,Other Services,2015,Percent,0.02671,101
Greenwich Village,Other Services,2015,Percent,0.02671,102
Lower East Side,Other Services,2015,Percent,0.04482,103
Chelsea/Clinton,Other Services,2015,Percent,0.03087,104
Midtown Business District,Other Services,2015,Percent,0.03087,105
Murray Hill/Stuyvesant,Other Services,2015,Percent,0.0391,106
Upper West Side,Other Services,2015,Percent,0.03528,107
Upper East Side,Other Services,2015,Percent,0.02855,108
Manhattanville,Other Services,2015,Percent,0.05523,109
Central Harlem,Other Services,2015,Percent,0.05498,110
East Harlem,Other Services,2015,Percent,0.05289,111
Washington Heights,Other Services,2015,Percent,0.06649,112
Mott Haven,Other Services,2015,Percent,0.06495,201
Hunts Point,Other Services,2015,Percent,0.06495,202
Morrisania,Other Services,2015,Percent,0.06586,203
Concourse/Highbridge,Other Services,2015,Percent,0.06421,204
University Heights,Other Services,2015,Percent,0.0789,205
East Tremont,Other Services,2015,Percent,0.06586,206
Bedford Park,Other Services,2015,Percent,0.06524,207
Riverdale,Other Services,2015,Percent,0.06043,208
Unionport/Soundview,Other Services,2015,Percent,0.0563,209
Throgs Neck,Other Services,2015,Percent,0.04421,210
Pelham Parkway,Other Services,2015,Percent,0.04806,211
Williamsbridge,Other Services,2015,Percent,0.06363,212
Williamsburg/Greenpoint,Other Services,2015,Percent,0.04735,301
Fort Greene/Brooklyn Hts,Other Services,2015,Percent,0.0432,302
Bedford Stuyvesant,Other Services,2015,Percent,0.05075,303
Bushwick,Other Services,2015,Percent,0.06489,304
East New York,Other Services,2015,Percent,0.05144,305
Park Slope,Other Services,2015,Percent,0.04383,306
Sunset Park,Other Services,2015,Percent,0.0702,307
Crown Heights North,Other Services,2015,Percent,0.06662,308
Crown Heights South,Other Services,2015,Percent,0.06383,309
Bay Ridge,Other Services,2015,Percent,0.05725,310
Bensonhurst,Other Services,2015,Percent,0.05497,311
Borough Park,Other Services,2015,Percent,0.05938,312
Coney Island,Other Services,2015,Percent,0.06128,313
Flatbush/Midwood,Other Services,2015,Percent,0.04958,314
Sheepshead Bay,Other Services,2015,Percent,0.04606,315
Brownsville,Other Services,2015,Percent,0.05253,316
East Flatbush,Other Services,2015,Percent,0.06429,317
Canarsie,Other Services,2015,Percent,0.04425,318
Astoria,Other Services,2015,Percent,0.0634,401
Sunnyside/Woodside,Other Services,2015,Percent,0.0648,402
Jackson Heights,Other Services,2015,Percent,0.08043,403
Elmhurst/Corona,Other Services,2015,Percent,0.09286,404
Ridgewood/Glendale,Other Services,2015,Percent,0.06073,405
Rego Park/Forest Hills,Other Services,2015,Percent,0.06404,406
Flushing,Other Services,2015,Percent,0.10009,407
Fresh Meadows/Briarwood,Other Services,2015,Percent,0.05794,408
Woodhaven,Other Services,2015,Percent,0.06432,409
Howard Beach,Other Services,2015,Percent,0.06011,410
Bayside,Other Services,2015,Percent,0.07268,411
Jamaica/St. Albans,Other Services,2015,Percent,0.04847,412
Queens Village,Other Services,2015,Percent,0.04469,413
The Rockaways,Other Services,2015,Percent,0.05507,414
St. George,Other Services,2015,Percent,0.04566,501
South Beach,Other Services,2015,Percent,0.04837,502
Tottenville,Other Services,2015,Percent,0.04132,503
Bronx,Other Services,2015,Percent,0.06083,36005
Brooklyn,Other Services,2015,Percent,0.05442,36047
Manhattan,Other Services,2015,Percent,0.04145,36061
Queens,Other Services,2015,Percent,0.06692,36081
Staten Island,Other Services,2015,Percent,0.04486,36085
New York City,Other Services,2015,Percent,0.05543,3651000
Battery Park/Tribeca,Public Administration,2015,Number,695.82297,101
Greenwich Village,Public Administration,2015,Number,1027.17703,102
Lower East Side,Public Administration,2015,Number,1938,103
Chelsea/Clinton,Public Administration,2015,Number,1184.94694,104
Midtown Business District,Public Administration,2015,Number,593.05306,105
Murray Hill/Stuyvesant,Public Administration,2015,Number,2992,106
Upper West Side,Public Administration,2015,Number,2837,107
Upper East Side,Public Administration,2015,Number,3892,108
Manhattanville,Public Administration,2015,Number,1524,109
Central Harlem,Public Administration,2015,Number,2661,110
East Harlem,Public Administration,2015,Number,1629,111
Washington Heights,Public Administration,2015,Number,1954,112
Mott Haven,Public Administration,2015,Number,868.866,201
Hunts Point,Public Administration,2015,Number,496.134,202
Morrisania,Public Administration,2015,Number,933.484,203
Concourse/Highbridge,Public Administration,2015,Number,1542,204
University Heights,Public Administration,2015,Number,1208,205
East Tremont,Public Administration,2015,Number,974.516,206
Bedford Park,Public Administration,2015,Number,1349,207
Riverdale,Public Administration,2015,Number,1989,208
Unionport/Soundview,Public Administration,2015,Number,2806,209
Throgs Neck,Public Administration,2015,Number,3654,210
Pelham Parkway,Public Administration,2015,Number,2054,211
Williamsbridge,Public Administration,2015,Number,2551,212
Williamsburg/Greenpoint,Public Administration,2015,Number,1575,301
Fort Greene/Brooklyn Hts,Public Administration,2015,Number,2802,302
Bedford Stuyvesant,Public Administration,2015,Number,2696,303
Bushwick,Public Administration,2015,Number,1542,304
East New York,Public Administration,2015,Number,3272,305
Park Slope,Public Administration,2015,Number,2487,306
Sunset Park,Public Administration,2015,Number,1574,307
Crown Heights North,Public Administration,2015,Number,2420,308
Crown Heights South,Public Administration,2015,Number,2558,309
Bay Ridge,Public Administration,2015,Number,3005,310
Bensonhurst,Public Administration,2015,Number,2432,311
Borough Park,Public Administration,2015,Number,1291,312
Coney Island,Public Administration,2015,Number,1387,313
Flatbush/Midwood,Public Administration,2015,Number,2416,314
Sheepshead Bay,Public Administration,2015,Number,2135,315
Brownsville,Public Administration,2015,Number,2684,316
East Flatbush,Public Administration,2015,Number,2752,317
Canarsie,Public Administration,2015,Number,5458,318
Astoria,Public Administration,2015,Number,2782,401
Sunnyside/Woodside,Public Administration,2015,Number,1719,402
Jackson Heights,Public Administration,2015,Number,2415,403
Elmhurst/Corona,Public Administration,2015,Number,1625,404
Ridgewood/Glendale,Public Administration,2015,Number,3342,405
Rego Park/Forest Hills,Public Administration,2015,Number,2379,406
Flushing,Public Administration,2015,Number,3377,407
Fresh Meadows/Briarwood,Public Administration,2015,Number,2788,408
Woodhaven,Public Administration,2015,Number,2820,409
Howard Beach,Public Administration,2015,Number,2808,410
Bayside,Public Administration,2015,Number,2422,411
Jamaica/St. Albans,Public Administration,2015,Number,6312,412
Queens Village,Public Administration,2015,Number,6418,413
The Rockaways,Public Administration,2015,Number,3213,414
St. George,Public Administration,2015,Number,5420,501
South Beach,Public Administration,2015,Number,3500,502
Tottenville,Public Administration,2015,Number,5620,503
Bronx,Public Administration,2015,Number,20426,36005
Brooklyn,Public Administration,2015,Number,44486,36047
Manhattan,Public Administration,2015,Number,22928,36061
Queens,Public Administration,2015,Number,44420,36081
Staten Island,Public Administration,2015,Number,14540,36085
New York City,Public Administration,2015,Number,146800,3651000
Battery Park/Tribeca,Public Administration,2015,Percent,0.01768,101
Greenwich Village,Public Administration,2015,Percent,0.01768,102
Lower East Side,Public Administration,2015,Percent,0.02422,103
Chelsea/Clinton,Public Administration,2015,Percent,0.01819,104
Midtown Business District,Public Administration,2015,Percent,0.01819,105
Murray Hill/Stuyvesant,Public Administration,2015,Percent,0.03166,106
Upper West Side,Public Administration,2015,Percent,0.0255,107
Upper East Side,Public Administration,2015,Percent,0.02975,108
Manhattanville,Public Administration,2015,Percent,0.02519,109
Central Harlem,Public Administration,2015,Percent,0.04548,110
East Harlem,Public Administration,2015,Percent,0.03296,111
Washington Heights,Public Administration,2015,Percent,0.01875,112
Mott Haven,Public Administration,2015,Percent,0.02713,201
Hunts Point,Public Administration,2015,Percent,0.02713,202
Morrisania,Public Administration,2015,Percent,0.03355,203
Concourse/Highbridge,Public Administration,2015,Percent,0.02953,204
University Heights,Public Administration,2015,Percent,0.02325,205
East Tremont,Public Administration,2015,Percent,0.03355,206
Bedford Park,Public Administration,2015,Percent,0.02563,207
Riverdale,Public Administration,2015,Percent,0.04008,208
Unionport/Soundview,Public Administration,2015,Percent,0.03706,209
Throgs Neck,Public Administration,2015,Percent,0.06564,210
Pelham Parkway,Public Administration,2015,Percent,0.03622,211
Williamsbridge,Public Administration,2015,Percent,0.041,212
Williamsburg/Greenpoint,Public Administration,2015,Percent,0.01956,301
Fort Greene/Brooklyn Hts,Public Administration,2015,Percent,0.03999,302
Bedford Stuyvesant,Public Administration,2015,Percent,0.04688,303
Bushwick,Public Administration,2015,Percent,0.02404,304
East New York,Public Administration,2015,Percent,0.05562,305
Park Slope,Public Administration,2015,Percent,0.03612,306
Sunset Park,Public Administration,2015,Percent,0.02192,307
Crown Heights North,Public Administration,2015,Percent,0.0399,308
Crown Heights South,Public Administration,2015,Percent,0.05202,309
Bay Ridge,Public Administration,2015,Percent,0.04992,310
Bensonhurst,Public Administration,2015,Percent,0.0287,311
Borough Park,Public Administration,2015,Percent,0.02132,312
Coney Island,Public Administration,2015,Percent,0.03286,313
Flatbush/Midwood,Public Administration,2015,Percent,0.03397,314
